English,Italian
laura,laura
repeat,ripetere
photos,foto
finds,trova
statement,dichiarazione
suck,succhiare
younger,più giovane
china,cina
humans,umani
delicious,delizioso
particular,particolare
proper,corretto
rome,roma
belongs,appartiene
attacked,attaccato
bath,bagno
hired,assunto
site,sito
knowledge,conoscenza
b,b
led,guidato
guests,ospiti
celebrate,celebrare
map,mappa
horn,corno
eventually,infine
pity,pietà
powers,poteri
ashamed,che si vergogna
assume,assumere
glasses,occhiali
rise,salita
fixed,fisso
request,richiesta
officers,ufficiali
pounds,libbre
data,dati
carefully,accuratamente
per,per
depends,dipende
jury,giuria
waited,aspettato
positive,positivo
attorney,avvocato
direction,direzione
families,famiglie
clock,orologio
doin,fare
forces,forze
location,posizione
walls,muri
useless,inutile
grant,concessione
saving,risparmio
speaks,parla
fought,combattuto
meal,pasto
deliver,consegnare
answers,risposte
changing,cambiare
temple,tempio
scary,allarmante
millions,milioni
offered,offerto
regular,regolare
carrying,portando
official,ufficiale
jacket,giacca
switch,interruttore
grave,grave
chase,caccia
role,ruolo
odd,strano
sexy,sexy
faces,volti
becomes,diventa
closes,chiude
badly,male
tall,alto
confused,confuso
affair,affare
television,televisione
shock,shock
raised,sollevato
panting,ansimando
pizza,pizza
image,immagine
clears,cancella
golden,d'oro
patients,pazienti
watched,guardato
committed,impegnato
sexual,sessuale
suffer,soffrire
arthur,artù
wherever,ovunque
plate,piatto
appear,apparire
chocolate,cioccolato
clever,intelligente
hm,mmm
mercy,misericordia
shots,colpi
lucy,lucia
dealing,condotta
trap,trappola
charges,accuse
phil,filo
bang,botto
poison,veleno
butt,culo
drove,guidato
yourselves,voi stessi
headed,diretto
babies,bambini
yellow,giallo
soup,minestra
mystery,mistero
picking,raccolta
sat,sab
wound,ferita
traffic,traffico
courage,coraggio
hunt,caccia
indian,indiano
rat,ratto
terms,termini
italian,italiano
emma,emma
checking,controllo
disease,malattia
managed,gestito
winner,vincitore
council,consiglio
appointment,appuntamento
monday,lunedi
crack,crepa
threat,minaccia
jenny,asina
physical,fisico
nation,nazione
source,fonte
chose,scelto
healthy,salutare
carl,carlo
victory,vittoria
rick,rick
stood,stava in piedi
kicked,preso a calci
annie,annie
disgusting,disgustoso
palace,palazzo
below,sotto
shopping,shopping
neighborhood,quartiere
march,marzo
lips,labbra
midnight,mezzanotte
piss,pisciare
advantage,vantaggio
pure,puro
india,india
aside,da parte
jerk,sbalzo
mail,posta
dawn,alba
effect,effetto
spell,sillabare
freak,capriccio
wood,legna
screwed,avvitato
enemies,nemici
gary,gary
awake,sveglio
chuckling,ridacchiando
vacation,vacanza
violence,violenza
leo,leone
grandmother,nonna
modern,moderno
luke,luca
firm,ditta
prime,primo
heh,eh eh
touched,toccato
talent,talento
whore,puttana
piano,pianoforte
license,licenza
cooking,cucina
honour,onore
concern,preoccupazione
moves,mosse
available,disponibile
factory,fabbrica
gods,dei
value,valore
central,centrale
union,unione
mirror,specchio
studio,studio
media,media
taxi,taxi
dies,muore
iron,ferro
hearts,cuori
desire,desiderio
rob,rapinare
claire,chiara
fred,fred
songs,canzoni
washington,washington
monkey,scimmia
pride,orgoglio
pills,pillole
miracle,miracolo
swim,nuotare
burned,bruciato
smells,odori
joking,scherzando
christian,cristiano
bleeding,sanguinamento
hook,gancio
beating,percosse
protection,protezione
treatment,trattamento
ear,orecchio
carter,carrettiere
metal,metallo
disappear,scomparire
grateful,grato
extremely,estremamente
treasure,tesoro
rescue,salvare
capable,capace
passing,passando
chatter,chiacchiere
result,risultato
suffering,sofferenza
sisters,sorelle
laid,posato
governor,governatore
guards,guardie
louis,luigi
text,testo
literally,letteralmente
remove,rimuovere
becoming,diventando
performance,prestazione
stronger,più forte
rate,valutare
deeply,profondamente
scream,grido
desert,deserto
vehicle,veicolo
illegal,illegale
pulling,tirando
throwing,lancio
josh,josh
unbelievable,incredibile
ted,ted
zero,zero
dean,decano
curious,curioso
sean,sean
candy,caramella
bone,osso
tied,legato
edge,bordo
load,carico
susan,susan
ahh,ahh
mountains,montagne
boom,boom
former,ex
holiday,vacanza
riding,cavalcare
scoffs,si fa beffe
hundreds,centinaia
motherfucker,figlio di puttana
sue,citare in giudizio
bags,borse
stealing,rubare
appears,appare
arrive,arrivare
remains,resti
decent,decente
issues,problemi
tip,mancia
fail,fallire
bride,sposa
pissed,ubriaco
penny,penny
claim,reclamo
friendship,amicizia
desperate,disperato
flower,fiore
dramatic,drammatico
refuse,rifiutare
solve,risolvere
theme,tema
loving,amorevole
properly,correttamente
dragon,drago
mostly,soprattutto
chuck,mandrino
directly,direttamente
surface,superficie
false,falso
cast,lancio
junior,junior
hunting,a caccia
silent,silenzioso
thou,tu
egg,uovo
germany,germania
punch,punch
africa,africa
woke,svegliato
intelligence,intelligenza
borrow,prestito
winning,vincente
falls,cadute
popular,popolare
escaped,scappato
witch,strega
convinced,convinto
warn,avvisare
announcer,annunciatore
champagne,champagne
dust,polvere
kyle,kyle
someday,un giorno
fallen,caduto
stranger,sconosciuto
presence,presenza
tear,lacrima
st.,st.
internet,internet
monsieur,signore
therefore,perciò
technology,tecnologia
tires,pneumatici
toast,pane abbrustolito
wise,saggio
clark,clark
americans,americani
notes,appunti
smoking,fumare
hank,matassa
ls,ls
april,aprile
wolf,lupo
precious,prezioso
rooms,stanze
coast,costa
treated,trattato
material,materiale
released,rilasciato
uniform,uniforme
hated,odiato
considered,considerato
rice,riso
exchange,scambio
steps,passi
blake,blake
convince,convincere
beast,bestia
cow,mucca
files,file
signs,segni
drag,lagna
cab,taxi
hung,sospeso
carried,portato
ordinary,ordinario
successful,riuscito
eve,vigilia
mistakes,errori
houses,case
chattering,chiacchierando
brains,cervelli
japan,giappone
creature,creatura
fourth,quarto
separate,separato
cleaning,pulizia
california,california
lf,se
ll,ll
shift,spostare
elizabeth,elisabetta
chicago,chicago
exact,esatto
karen,karen
goal,obiettivo
expert,esperto
served,servito
direct,diretto
score,punto
row,riga
marks,segni
twenty,venti
receive,ricevere
series,serie
section,sezione
pilot,pilota
jackson,jackson
darkness,oscurità
thy,tuo
sale,vendita
destiny,destino
cure,cura
spoken,parlato
armed,armato
rare,raro
helen,elena
grade,grado
juice,succo
wide,largo
tower,torre
solution,soluzione
schedule,programma
explosion,esplosione
wheel,ruota
cigarette,sigaretta
julie,giulia
fruit,frutta
blew,soffiato
victor,vincitore
talks,discorsi
sacrifice,sacrificio
range,allineare
button,pulsante
reports,rapporti
prisoner,prigioniero
pie,torta
effort,sforzo
youth,gioventù
pot,pentola
eaten,mangiato
taylor,sarto
knees,ginocchia
garage,garage
parking,parcheggio
ambulance,ambulanza
staring,stupefatto
chances,possibilità
circumstances,circostanze
sin,peccato
gordon,gordon
progress,progressi
unusual,insolito
county,contea
stairs,scale
campaign,campagna
mon,lunedì
vision,visione
reporter,reporter
equipment,attrezzatura
moments,momenti
joey,joey
mass,massa
alien,alien
trapped,intrappolato
helps,aiuta
route,itinerario
defend,difendere
trace,traccia
nasty,sgradevole
tests,test
magazine,rivista
rocks,rocce
dump,scarico
rude,maleducato
searching,ricerca
clue,traccia
connected,collegato
amen,amen
pushed,spinto
merry,allegro
zone,zona
senior,anziano
closing,chiusura
freeze,congelare
emperor,imperatore
incident,incidente
snake,serpente
mexico,messico
lily,giglio
actor,attore
newspaper,giornale
sentence,frase
greg,greg
leading,primo
friendly,amichevole
jones,jones
chosen,scelto
engaged,impegnato
julia,giulia
charming,affascinante
mustn,non deve
anger,rabbia
spending,spesa
learning,apprendimento
spy,spiare
sharp,affilato
shadow,ombra
warrant,mandato
elevator,ascensore
kingdom,regno
ricky,ricky
jamie,jamie
squad,squadra
shoulder,spalla
wave,onda
amanda,amanda
highness,altezza
kinds,tipi
fishing,pesca
sometime,qualche volta
attitude,atteggiamento
sucks,fa schifo
negative,negativo
screen,schermo
workers,lavoratori
bored,annoiato
cameras,telecamere
similar,simile
understanding,comprensione
beeps,segnali acustici
chain,catena
bull,toro
gasping,ansimando
fully,completamente
robin,pettirosso
collect,raccogliere
gorgeous,bellissimo
morgan,morgan
passion,passione
writer,scrittore
empire,impero
international,internazionale
curse,maledizione
hire,assumere
bastards,bastardi
puts,mette
leads,conduce
id,id
blows,colpi
sons,figli
estate,proprietà
customers,clienti
maggie,maggie
gunshot,colpo di pistola
i-,io-
device,dispositivo
troops,truppe
hug,abbraccio
design,progetto
movement,movimento
thunder,tuono
object,oggetto
loser,perdente
pen,penna
sobbing,singhiozzando
politics,politica
despite,nonostante
alcohol,alcol
climb,scalata
clients,clienti
conference,conferenza
provide,fornire
marty,marty
seek,cercare
witnesses,testimoni
earn,guadagnare
trash,spazzatura
valley,valle
fashion,moda
howard,howard
episode,episodio
prize,premio
previously,precedentemente
sports,sport
wanting,volendo
debt,debito
wishes,auguri
hitler,hitler
wire,filo
thee,ti
circle,cerchio
approach,approccio
stock,azione
facts,fatti
remembered,ricordato
percent,per cento
normally,normalmente
tail,coda
joined,partecipato
education,istruzione
bravo,bravo
library,biblioteca
rape,stupro
wings,ali
growling,ringhiando
thrown,lanciato
tank,cisterna
exhales,espira
authority,autorità
current,attuale
failure,fallimento
nightmare,incubo
hitting,colpire
glory,gloria
knocked,bussato
studying,studiando
barry,barra
agency,agenzia
apple,mela
border,confine
rope,corda
duck,anatra
reputation,reputazione
confidence,fiducia
yard,cortile
beloved,amato
lack,mancanza
actual,attuale
skills,competenze
films,film
mental,mentale
salt,sale
flesh,carne
anne,anna
secure,sicuro
highly,altamente
federal,federale
sand,sabbia
emotional,emotivo
setting,collocamento
nothin,niente
senator,senatore
services,servizi
robbery,rapina
hates,odia
fed,alimentato
reward,ricompensa
theater,teatro
johnson,johnson
commit,commettere
patrick,patrizio
entirely,interamente
extraordinary,straordinario
ships,navi
opposite,opposto
parties,feste
stands,sta in piedi
terry,spugna
chat,chiacchierata
events,eventi
mummy,mummia
bay,baia
slip,scontrino
disappointed,deluso
settled,sistemato
begins,inizia
andrew,andrea
alert,allerta
detail,dettaglio
pink,rosa
fellas,ragazzi
accepted,accettato
background,sfondo
garbage,spazzatura
panic,panico
minds,menti
belt,cintura
blowing,soffiando
hollywood,hollywood
agreement,accordo
jackie,jackie
pushing,spingendo
ability,capacità
tiger,tigre
whispering,sussurrare
culture,cultura
saint,santo
jesse,jesse
task,compito
solid,solido
doll,bambola
intend,intendere
district,quartiere
pa,papà
gee,accidenti
custody,custodia
ignore,ignorare
naturally,naturalmente
useful,utile
attempt,tentativo
abandoned,abbandonato
cutting,taglio
kissed,baciato
guarantee,garanzia
barking,abbaiare
gather,raccogliere
policy,politica
u.s.,noi.
violent,violento
maid,domestica
embarrassing,imbarazzante
childhood,infanzia
wasting,sprecare
bow,arco
chick,pulcino
sara,sara
disaster,disastro
revolution,rivoluzione
online,in linea
f,f
demon,demone
heavily,pesantemente
coincidence,coincidenza
perform,eseguire
thin,magro
terrific,spaventoso
mac,mac
crown,corona
identity,identità
virgin,vergine
impressive,impressionante
windows,finestre
no-one,nessuno
potential,potenziale
guitar,chitarra
committee,comitato
dozen,dozzina
delivery,consegna
advance,anticipo
quietly,tranquillamente
stan,stan
teaching,insegnamento
hunter,cacciatore
latest,ultimo
hurting,ferito
swing,oscillazione
capital,capitale
counting,conteggio
drew,ha disegnato
dirt,sporco
whistle,fischio
marie,maria
hits,successi
doug,doug
deny,negare
urgent,urgente
threatened,minacciato
behavior,comportamento
molly,molly
mixed,misto
stays,soggiorni
assure,assicurare
subtitles,sottotitoli
explanation,spiegazione
wins,vittorie
unique,unico
chasing,inseguendo
billion,miliardo
duke,duca
production,produzione
slave,schiavo
agents,agenti
carol,canto natalizio
lets,lascia
cruel,crudele
mask,maschera
sally,sortita
behave,comportarsi
bury,seppellire
massive,massiccio
pathetic,patetico
species,specie
approaching,avvicinandosi
jo,io
loan,prestito
struggle,lotta
dish,piatto
trusted,fidato
jumped,saltato
firing,sparare
channel,canale
abby,abby
stopping,fermandosi
asks,chiede
jean,jeans
swimming,nuoto
daily,quotidiano
basement,seminterrato
linda,linda
quarter,trimestre
erm,ehm
bound,limite
navy,marina
article,articolo
guide,guida
accused,accusato
transfer,trasferire
guts,intestini
quality,qualità
fella,ragazzo
roman,romano
greater,maggiore
damned,dannato
couch,divano
cheer,allegria
vegas,las vegas
shoe,scarpa
title,titolo
shy,timido
punishment,punizione
los,los
clicks,clic
you,voi
closet,guardaroba
bye-bye,ciao ciao
fever,febbre
coward,vigliacco
flash,flash
impressed,impressionato
bruce,bruce
siren,sirena
prisoners,prigionieri
sides,lati
bowl,ciotola
katie,katie
supply,fornitura
sensitive,sensibile
hopefully,fiduciosamente
rolling,rotolamento
roy,re
dollar,dollaro
tone,tono
voices,voci
g,g
i,io
cheating,imbrogliare
confess,confessare
demand,richiesta
museum,museo
unknown,sconosciuto
drama,dramma
suspicious,sospettoso
adult,adulto
todd,todd
frightened,spaventato
warned,avvertito
steady,costante
kills,uccide
crossed,attraversato
lou,lou
particularly,particolarmente
sandwich,sandwich
laws,legislazione
joint,giunto
bullets,proiettili
package,pacchetto
trained,addestrato
thursday,giovedì
boots,stivali
possibility,possibilità
albert,alberto
civil,civile
june,giugno
germans,tedeschi
baseball,baseball
express,esprimere
miserable,miserabile
tuesday,martedì
parker,parcheggiatore
lion,leone
joseph,giuseppe
refused,rifiutato
shine,splendore
assault,assalto
hong,hong
jokes,barzellette
breaks,pause
argue,litigare
you-,voi-
trail,sentiero
option,opzione
recall,richiamo
mighty,potente
collection,collezione
oliver,oliver
wilson,wilson
accent,accento
believes,crede
decisions,decisioni
embarrassed,imbarazzato
mobile,mobile
customer,cliente
terribly,terribilmente
sec,secondo
charity,beneficenza
considering,considerando
pussy,figa
donna,donna
protecting,proteggere
flag,bandiera
kidnapped,rapito
italy,italia
balance,bilancia
creatures,creature
nuclear,nucleare
wallet,portafoglio
shout,gridare
vincent,vincent
entered,entrato
impression,impressione
angela,angela
jay,ghiandaia
degrees,gradi
favour,favore
reaction,reazione
network,rete
jessica,jessica
version,versione
concert,concerto
gear,ingranaggio
singer,cantante
diamond,diamante
defeat,sconfitta
steven,steven
lane,sentiero
blast,raffica
wounded,ferito
anytime,in qualsiasi momento
partners,partner
ages,età
charlotte,carlotta
ceremony,cerimonia
league,lega
bars,barre
orange,arancia
specific,specifico
conditions,condizioni
plastic,plastica
crisis,crisi
fifth,quinto
term,termine
self,se stesso
offering,offerta
bud,germoglio
suffered,sofferto
reported,segnalato
commissioner,commissario
rip,rip
mysterious,misterioso
entrance,entrata
messed,incasinato
tunnel,tunnel
designed,progettato
neighbor,vicino
aboard,a bordo
sweat,sudore
justin,giustino
ghosts,fantasmi
crimes,crimini
costs,costi
deserves,merita
dreaming,sognare
bust,torace
el,lui
teddy,orsacchiotto
kong,kong
messages,messaggi
enjoying,godendo
afterwards,dopo
comfort,comfort
mason,muratore
surrender,resa
gym,palestra
kitty,gattino
crush,schiacciare
yup,sì
arranged,organizzato
suits,abiti
pee,fare pipì
stress,stress
cave,grotta
wing,ala
jordan,giordania
arrange,organizzare
comrade,compagno
noble,nobile
tricks,trucchi
betty,betty
launch,lancio
legend,leggenda
mix,mescolare
golf,golf
imagination,immaginazione
fox,volpe
kissing,baciare
butter,burro
tax,tassare
gross,grossolano
edward,edoardo
texas,texas
insist,insistere
marcus,marco
classic,classico
selfish,egoista
skull,cranio
frankie,frankie
shown,mostrato
bat,pipistrello
survived,sopravvissuto
print,stampa
champion,campione
bills,fatture
therapy,terapia
lifetime,tutta la vita
throughout,per tutto
a.m.,sono.
nathan,nathan
toward,verso
sauce,salsa
experiment,sperimentare
margaret,margherita
describe,descrivere
ross,rosso
grass,erba
cheat,imbroglione
attend,assistere
homework,compiti a casa
lewis,lewis
betrayed,tradito
servant,servitore
cap,berretto
tyler,tyler
bible,bibbia
practically,praticamente
catherine,caterina
steel,acciaio
wipe,pulire
burns,ustioni
j,j
generation,generazione
cabin,cabina
financial,finanziario
industry,industria
bond,legame
sheep,pecora
scientists,scienziati
beaten,picchiato
heck,diamine
deck,ponte
fans,fan
script,sceneggiatura
brand,marca
degree,grado
painful,doloroso
coughing,tosse
religion,religione
cats,gatti
stephen,stefano
influence,influenza
fuel,carburante
drawing,disegno
uh-oh,uh-oh
rabbit,coniglio
exercise,esercizio
attractive,attraente
touching,toccante
virus,virus
realise,realizzare
torture,tortura
blessed,benedetto
plain,pianura
rebecca,rebecca
recent,recente
barbara,barbara
footsteps,passi
sacred,sacro
removed,rimosso
pretending,fingendo
wasted,sprecato
jewish,ebreo
goodnight,buona notte
robot,robot
crystal,cristallo
confirm,confermare
lad,ragazzo
mile,miglio
division,divisione
scratch,graffio
reminds,ricorda
walks,passeggiate
ending,fine
russia,russia
contest,concorso
valuable,prezioso
distant,distante
dumped,scaricato
motion,movimento
electricity,elettricità
centre,centro
murders,omicidi
tina,tina
jeremy,jeremy
seal,foca
standard,standard
ellen,ellen
wore,indossato
surrounded,circondato
struck,colpito
inform,informare
gentle,gentile
status,stato
purse,borsa
prints,stampe
players,giocatori
charged,caricato
begging,mendicare
delivered,consegnato
kenny,kenny
buck,maschio
nina,nina
construction,costruzione
confirmed,confermato
confession,confessione
trigger,grilletto
cells,cellule
frankly,francamente
ali,ali
exit,uscita
response,risposta
cancel,cancellare
argument,discussione
principal,principale
turkey,tacchino
lucas,luca
clinic,clinica
greetings,saluti
neighbors,vicinato
vice,vice
toy,giocattolo
hannah,hannah
everyday,ogni giorno
generous,generoso
gain,guadagno
idiots,idioti
holly,agrifoglio
enjoyed,mi è piaciuto
jungle,giungla
link,collegamento
underground,metropolitana
smiling,sorridente
mistress,padrona
teams,squadre
product,prodotto
beef,manzo
whispers,sussurri
religious,religioso
presents,regali
identify,identificare
chip,chip
chffffff,chffffff
surveillance,sorveglianza
carlos,carlos
vampire,vampiro
routine,routine
uses,usi
michelle,michelle
underneath,sotto
systems,sistemi
temperature,temperatura
waves,onde
tribe,tribù
brad,chiodo
deputy,vice
sophie,sophie
headquarters,sede centrale
equal,pari
phones,telefoni
ken,ken
reckon,considerare
related,imparentato
incredibly,incredibilmente
chill,freddo
spit,sputo
tracks,tracce
oscar,oscar
makeup,trucco
bug,insetto
sounded,suonava
spirits,spiriti
nerve,nervo
divorced,divorziato
stake,palo
port,porta
doorbell,campanello
worries,preoccupazioni
nephew,nipote
miller,mugnaio
units,unità
just-,appena-
proceed,procedere
landing,approdo
traitor,traditore
outfit,vestito
chloe,cloe
bail,cauzione
fields,campi
patience,pazienza
recording,registrazione
foolish,folle
loaded,caricato
tokyo,tokyo
davis,davis
costume,costume
wayne,wayne
injured,ferito
somethin,qualcosa
ian,iano
pet,animale domestico
cage,gabbia
digging,scavo
spain,spagna
seats,posti a sedere
awkward,imbarazzante
cleaned,pulito
pattern,modello
filthy,sporco
visiting,visitando
jews,ebrei
answering,rispondere
concentrate,concentrarsi
someplace,da qualche parte
citizens,cittadini
aim,scopo
nancy,nancy
affairs,affari
thick,spesso
sport,sport
basic,di base
electric,elettrico
pleasant,piacevole
cliff,scogliera
nail,chiodo
russell,russell
environment,ambiente
western,occidentale
average,media
ease,sollievo
raped,violentata
interrupt,interrompere
judy,giuditta
satisfied,soddisfatto
beep,segnale acustico
starving,affamato
documents,documenti
anniversary,anniversario
beth,beth
election,elezione
warrior,guerriero
r,r
forth,via
fetch,andare a prendere
banks,banche
placed,posto
timing,tempistica
stones,pietre
complex,complesso
frozen,congelato
replace,sostituire
prayer,preghiera
skip,saltare
angeles,angeles
guilt,colpevolezza
tune,melodia
woo,corteggiamento
actions,azioni
conscience,coscienza
officially,ufficialmente
martha,marta
machines,macchine
smaller,più piccolo
determined,determinato
blown,soffiato
hail,salve
unhappy,infelice
booth,stand
pour,versare
berlin,berlino
cleared,cancellato
packed,imballato
wrap,avvolgere
randy,arrapato
behalf,per conto
reasonable,ragionevole
trunk,tronco
homes,case
festival,festival
tradition,tradizione
cigarettes,sigarette
le,le
beside,accanto
harvey,harvey
motive,motivo
beings,esseri
bishop,vescovo
dealer,rivenditore
defendant,imputato
backup,backup
wounds,ferite
ouch,ahia
ann,anna
nearby,nelle vicinanze
drank,bevuto
effects,effetti
jonathan,jonathan
dennis,dennis
benefit,beneficio
adventure,avventura
p,p
territory,territorio
ve,ve
apology,scuse
dylan,dylan
unlike,a differenza di
owns,possiede
boxes,scatole
thus,così
clay,argilla
developed,sviluppato
busted,rotto
pipe,tubo
gray,grigio
no.,no.
goods,merce
favourite,preferito
salad,insalata
loyal,leale
atmosphere,atmosfera
eva,eva
freaking,accidenti
dropping,cadere
strangers,sconosciuti
mouse,topo
downtown,centro
francisco,francesco
heroes,eroi
pit,fossa
rotten,marcio
paradise,paradiso
meantime,nel frattempo
jess,jess
organization,organizzazione
hills,colline
exam,esame
cock,cazzo
fairy,fata
earl,conte
comment,commento
activity,attività
frame,telaio
knight,cavaliere
testing,test
habit,abitudine
shelter,riparo
flow,fluire
jennifer,jennifer
holes,buchi
prevent,impedire
anthony,antonio
lend,prestare
cooper,bottaio
figures,cifre
boston,boston
sample,campione
strip,striscia
landed,atterrato
buzzing,ronzio
monk,monaco
slightly,leggermente
produce,produrre
annoying,fastidioso
judgment,sentenza
laundry,lavanderia
ron,ron
lousy,schifoso
souls,anime
existence,esistenza
belly,gonfiarsi
tries,tentativi
foster,allevare
returning,ritorno
answered,risposto
ward,reparto
plants,piante
actress,attrice
chairman,presidente
individual,individuale
hopes,speranze
tattoo,tatuaggio
fence,recinzione
sink,lavello
punk,punk
confident,fiducioso
yay,sìì
mistaken,sbagliato
limit,limite
bothering,fastidioso
st,st
uncomfortable,scomodo
wednesday,mercoledì
gifts,regali
policeman,poliziotto
na,n / a
precisely,precisamente
lawyers,avvocati
greek,greco
merely,semplicemente
criminals,criminali
underwear,biancheria intima
hoped,sperato
earned,guadagnato
reveal,svelare
appeared,è apparso
derek,derek
heavens,cieli
personality,personalità
batman,batman
virginia,virginia
wives,mogli
colour,colore
worker,lavoratore
pope,papa
instructions,istruzioni
intelligent,intelligente
worrying,preoccupante
vince,vince
comin,arrivo
cried,pianse
traveling,viaggiare
bells,campane
x,x
impact,impatto
robbed,derubato
relief,sollievo
host,ospite
footage,filmato
odds,probabilità
patrol,pattuglia
circus,circo
mud,fango
captured,catturato
lessons,lezioni
occasion,occasione
sets,set
pulse,impulso
ad,a.d
invented,inventato
diamonds,diamanti
matthew,matteo
auntie,zia
cloud,nuvola
francis,francesco
angels,angeli
hers,il suo
classes,classi
mm-hm,mm-hm
signature,firma
complain,reclamo
blah,bla bla
monitor,monitorare
options,opzioni
claims,affermazioni
flies,mosche
pat,pacca
britain,gran bretagna
hid,nascosto
wailing,lamentoso
listened,ascoltato
countries,paesi
vic,vic
yell,urlo
rats,ratti
wondered,si chiedeva
smooth,liscio
resist,resistere
companies,aziende
fantasy,fantasia
passport,passaporto
pitch,pece
hammer,martello
homicide,omicidio
casey,casey
holds,tiene
flew,volò
jacob,giacobbe
noon,mezzogiorno
helicopter,elicottero
dishes,piatti
spin,rotazione
charm,fascino
slap,schiaffo
apply,fare domanda a
fools,sciocchi
screeching,stridente
discover,scoprire
previous,precedente
kit,kit
authorities,autorità
moaning,lamenti
photograph,fotografia
sales,saldi
fifty,cinquanta
mickey,topolino
beneath,sotto
farewell,addio
clouds,nuvole
slipped,scivolato
represent,rappresentare
deaf,sordo
facing,di fronte
offense,offesa
citizen,cittadino
clown,clown
snap,affrettato
messing,pasticciare
hood,cappuccio
twelve,dodici
interests,interessi
cheated,imbrogliato
liz,liz
informed,informato
humanity,umanità
producer,produttore
technically,tecnicamente
accounts,conti
extreme,estremo
gettin,ottenere
cia,cia
ii,ii
pays,paga
profile,profilo
oxygen,ossigeno
jeez,accidenti
gene,gene
shed,capannone
minor,minore
ex,ex
theatre,teatro
scientific,scientifico
lovers,amanti
chaos,caos
l.a.,la.
rocket,razzo
math,matematica
stubborn,testardo
august,agosto
oi,oi
chips,patatine fritte
intense,intenso
grey,grigio
talkin,parlando
terrorist,terrorist
angle,angolo
invitation,invito
gus,gus
gambling,gioco d'azzardo
respond,rispondere
thirty,trenta
procedure,procedura
absolute,assoluto
investigate,indagare
tragedy,tragedia
stable,stabile
session,sessione
capture,catturare
marrying,sposarsi
ripped,strappato
attacks,attacchi
stretch,stirata
bush,cespuglio
dates,date
unable,incapace
gates,cancelli
mars,marte
artists,artisti
increase,aumento
tastes,gusti
cared,curato
bottles,bottiglie
highest,più alto
whirring,ronzio
meanwhile,nel frattempo
nate,nato
grabbed,afferrato
pigs,maiali
chop,taglio
olivia,olivia
wheels,ruote
shocked,scioccato
reverend,reverendo
commercial,commerciale
escort,scorta
engagement,fidanzamento
corpse,cadavere
louise,luisa
worthy,degno
scale,scala
beats,battiti
williams,williams
threatening,minaccioso
exists,esiste
academy,accademia
acts,atti
hop,salto
judges,giudici
furniture,mobilia
shared,condiviso
ralph,ralph
consequences,conseguenze
engineer,ingegnere
schools,scuole
softly,dolcemente
bombs,bombe
caroline,carolina
shark,squalo
transport,trasporto
population,popolazione
succeed,avere successo
creepy,strisciante
sneak,furtivamente
studies,studi
destruction,distruzione
keith,keith
protected,protetto
monsters,mostri
joining,unirsi
punished,punito
lightning,fulmine
malcolm,malcom
shell,conchiglia
fascinating,affascinante
chamber,camera
ethan,ethan
romance,romanticismo
instance,esempio
jumping,saltare
groups,gruppi
exhausted,esausto
testify,testimoniare
studied,studiato
walker,camminatore
pin,spillo
imagined,immaginato
drill,trapano
investigating,investigando
ye,voi
experienced,esperto
elena,elena
necklace,collana
loyalty,lealtà
junk,robaccia
cole,cole
cries,piange
stanley,stanley
rita,rita
southern,meridionale
blocks,blocchi
emotions,emozioni
begun,iniziato
maya,maya
liver,fegato
serving,servire
matches,fiammiferi
surgeon,chirurgo
granted,concesso
jazz,jazz
july,luglio
supplies,forniture
deeper,più profondo
typical,tipico
kicking,calciare
obey,obbedire
dancer,ballerino
remote,remoto
daughters,figlie
moron,ritardato mentale
latin,latino
teachers,insegnanti
toby,toby
sandy,sabbioso
dragged,trascinato
strategy,strategia
parent,genitore
jin,jin
album,album
compared,confrontato
rubbish,spazzatura
helpful,utile
powder,polvere
sync,sincronizzare
bum,barbone
passes,passa
joan,giovanna
fort,forte
choices,scelte
alley,vicolo
supper,cena
penis,pene
alibi,alibi
sammy,sammy
pole,palo
coke,coke
scientist,scienziato
fighter,combattente
highway,autostrada
blade,lama
alpha,alfa
diet,dieta
liquor,liquore
jet,getto
widow,vedova
liberty,libertà
philip,filippo
moral,morale
carrie,carrie
award,premio
grief,dolore
thirsty,assetato
ashley,ashley
random,casuale
suspects,sospettati
intention,intenzione
julian,giuliano
active,attivo
tools,utensili
driven,guidato
trauma,trauma
headache,mal di testa
safely,in sicurezza
alexander,alessandro
knee,ginocchio
lads,ragazzi
novel,romanzo
conversations,conversazioni
waters,acque
lookin,guarda dentro
invisible,invisibile
internal,interno
peaceful,tranquillo
humming,ronzio
washed,lavato
drives,unità
talented,talentuoso
li,li
aid,aiuto
elephant,elefante
troubles,problemi
core,nucleo
serial,seriale
s-,s-
painted,dipinto
the,il
divine,divine
jam,marmellata
goat,capra
opera,opera
thieves,ladri
guessing,indovinare
objection,obiezione
whiskey,whisky
florida,florida
resistance,resistenza
dressing,vestirsi
attached,allegato
aaron,aaron
brief,breve
punish,punire
eternal,eterno
lois,lei
and,e
required,necessario
victoria,vittoria
fabulous,favoloso
twins,gemelli
characters,caratteri
cooked,cotto
ln,ln
ruth,ruth
dreamed,sognato
arts,arti
naughty,cattivo
stabbed,accoltellato
tend,tendere
diane,diana
tap,rubinetto
soap,sapone
locker,armadietto
development,sviluppo
images,immagini
prick,puntura
global,globale
string,corda
bitter,amaro
sharing,condivisione
corn,mais
craig,craig
fits,si adatta
tent,tenda
forms,forme
votes,voti
harold,harold
propose,proporre
